"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Revivify","PHB'24","312","3rd","Action","Instantaneous","Necromancy","Touch","V, S, M (a diamond worth 300+ GP, which the spell consumes)","Artificer, Cleric, Druid, Paladin, Ranger","","You touch a creature that has died within the last minute. That creature revives with 1 Hit Point. This spell can't revive a creature that has died of old age, nor does it restore any missing body parts.",""
"Sacred Flame","PHB'24","313","Cantrip","Action","Instantaneous","Evocation","60 feet","V, S","Cleric","","Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 Radiant damage. The target gains no benefit from Half Cover or Three-Quarters Cover for this save."," Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
"Sanctuary","PHB'24","313","1st","Bonus","1 minute","Abjuration","30 feet","V, S, M (a shard of glass from a mirror)","Artificer, Cleric","","You ward a creature within range. Until the spell ends, any creature who targets the warded creature with an attack roll or a damaging spell must succeed on a Wisdom saving throw or either choose a new target or lose the attack or spell. This spell doesn't protect the warded creature from areas of effect.The spell ends if the warded creature makes an attack roll, casts a spell, or deals damage.",""
"Scrying","PHB'24","313","5th","10 Min.","Concentration, up to 10 minutes","Divination","Self","V, S, M (a focus worth 1,000+ GP, such as a crystal ball, mirror, or water-filled font)","Bard, Cleric, Druid, Warlock, Wizard","","You can see and hear a creature you choose that is on the same plane of existence as you. The target makes a Wisdom saving throw, which is modified (see the tables below) by how well you know the target and the sort of physical connection you have to it. The target doesn't know what it is making the save against, only that it feels uneasy.Your Knowledge of the Target Is...Save ModifierSecondhand (heard of the target)+5Firsthand (met the target)+0Extensive (know the target well)-5You Have the Target's...Save ModifierPicture or other likeness-2Garment or other possession-4Body part, lock of hair, or bit of nail-10On a successful save, the target isn't affected, and you can't use this spell on it again for 24 hours.On a failed save, the spell creates an Invisible, intangible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. If something can see the sensor, it appears as a luminous orb about the size of your fist.Instead of targeting a creature, you can target a location you have seen. When you do so, the sensor appears at that location and doesn't move.",""
"Sending","PHB'24","314","3rd","Action","Instantaneous","Divination","Unlimited","V, S, M (a copper wire)","Bard, Cleric, Wizard","","You send a short message of 25 words or fewer to a creature you have met or a creature described to you by someone who has met it. The target hears the message in its mind, recognizes you as the sender if it knows you, and can answer in a like manner immediately. The spell enables targets to understand the meaning of your message.You can send the message across any distance and even to other planes of existence, but if the target is on a different plane than you, there is a 5 percent chance that the message doesn't arrive. You know if the delivery fails.Upon receiving your message, a creature can block your ability to reach it again with this spell for 8 hours. If you try to send another message during that time, you learn that you are blocked, and the spell fails.",""
"Shield of Faith","PHB'24","316","1st","Bonus","Concentration, up to 10 minutes","Abjuration","60 feet","V, S, M (a prayer scroll)","Cleric, Paladin","","A shimmering field surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.",""
"Silence","PHB'24","316","2nd","Action","Concentration, up to 10 minutes","Illusion (ritual)","120 feet","V, S","Bard, Cleric, Ranger","","For the duration, no sound can be created within or pass through a 20-foot-radius Sphere centered on a point you choose within range. Any creature or object entirely inside the Sphere has Immunity to Thunder damage, and creatures have the Deafened condition while entirely inside it. Casting a spell that includes a Verbal component is impossible there.",""
"Spare the Dying","PHB'24","318","Cantrip","Action","Instantaneous","Necromancy","15 feet","V, S","Artificer, Cleric, Druid","","Choose a creature within range that has 0 Hit Points and isn't dead. The creature becomes Stable."," Cantrip Upgrade. The range doubles when you reach levels 5 (30 feet), 11 (60 feet), and 17 (120 feet)."
"Speak with Dead","PHB'24","318","3rd","Action","10 minutes","Necromancy","10 feet","V, S, M (burning incense)","Bard, Cleric, Wizard","","You grant the semblance of life to a corpse of your choice within range, allowing it to answer questions you pose. The corpse must have a mouth, and this spell fails if the deceased creature was Undead when it died. The spell also fails if the corpse was the target of this spell within the past 10 days.Until the spell ends, you can ask the corpse up to five questions. The corpse knows only what it knew in life, including the languages it knew. Answers are usually brief, cryptic, or repetitive, and the corpse is under no compulsion to offer a truthful answer if you are antagonistic toward it or it recognizes you as an enemy. This spell doesn't return the creature's soul to its body, only its animating spirit. Thus, the corpse can't learn new information, doesn't comprehend anything that has happened since it died, and can't speculate about future events.",""
"Spirit Guardians","PHB'24","319","3rd","Action","Concentration, up to 10 minutes","Conjuration","Self","V, S, M (a prayer scroll)","Cleric","","Protective spirits flit around you in a 15-foot Emanation for the duration. If you are good or neutral, their spectral form appears angelic or fey (your choice). If you are evil, they appear fiendish.When you cast this spell, you can designate creatures to be unaffected by it. Any other creature's Speed is halved in the Emanation, and whenever the Emanation enters a creature's space and whenever a creature enters the Emanation or ends its turn there, the creature must make a Wisdom saving throw. On a failed save, the creature takes 3d8 Radiant damage (if you are good or neutral) or 3d8 Necrotic damage (if you are evil). On a successful save, the creature takes half as much damage. A creature makes this save only once per turn."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3."
"Spirit Shroud","TCE","108","3rd","Bonus","Concentration, up to 1 minute","Necromancy","Self","V, S","","Cleric, Cleric, Paladin, Paladin, Warlock, Warlock, Wizard, Wizard","You call forth spirits of the dead, which flit around you for the spell's duration. The spirits are intangible and invulnerable.Until the spell ends, any attack you make deals 1d8 extra damage when you hit a creature within 10 feet of you. This damage is radiant, necrotic, or cold (your choice when you cast the spell). Any creature that takes this damage can't regain hit points until the start of your next turn.In addition, any creature of your choice that you can see that starts its turn within 10 feet of you has its speed reduced by 10 feet until the start of your next turn."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d8 for every two slot levels above 3rd."
"Spiritual Weapon","PHB'24","319","2nd","Bonus","Concentration, up to 1 minute","Evocation","60 feet","V, S","Cleric","","You create a floating, spectral force that resembles a weapon of your choice and lasts for the duration. The force appears within range in a space of your choice, and you can immediately make one melee spell attack against one creature within 5 feet of the force. On a hit, the target takes Force damage equal to 1d8 plus your spellcasting ability modifier.As a Bonus Action on your later turns, you can move the force up to 20 feet and repeat the attack against a creature within 5 feet of it."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for every slot level above 2."
"Stone Shape","PHB'24","321","4th","Action","Instantaneous","Transmutation","Touch","V, S, M (soft clay)","Artificer, Cleric, Druid, Wizard","","You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape you like. For example, you could shape a large rock into a weapon, statue, or coffer, or you could make a small passage through a wall that is 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn't possible.",""
"Summon Celestial","PHB'24","323","5th","Action","Concentration, up to 1 hour","Conjuration","90 feet","V, S, M (a reliquary worth 500+ GP)","Cleric, Paladin","","You call forth a Celestial spirit. It manifests in an angelic form in an unoccupied space that you can see within range and uses the Celestial Spirit stat block. When you cast the spell, choose Avenger or Defender. Your choice determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends.The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don't issue any, it takes the Dodge action and uses its movement to avoid danger."," Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block."
"Sunbeam","PHB'24","329","6th","Action","Concentration, up to 1 minute","Evocation","Self","V, S, M (a magnifying glass)","Cleric, Druid, Sorcerer, Wizard","","You launch a sunbeam in a 5-foot-wide, 60-foot-long Line. Each creature in the Line makes a Constitution saving throw. On a failed save, a creature takes 6d8 Radiant damage and has the Blinded condition until the start of your next turn. On a successful save, it takes half as much damage only.Until the spell ends, you can take a Magic action to create a new Line of radiance.For the duration, a mote of brilliant radiance shines above you. It sheds Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. This light is sunlight.",""
"Sunburst","PHB'24","329","8th","Action","Instantaneous","Evocation","150 feet","V, S, M (a piece of sunstone)","Cleric, Druid, Sorcerer, Wizard","","Brilliant sunlight flashes in a 60-foot-radius Sphere centered on a point you choose within range. Each creature in the Sphere makes a Constitution saving throw. On a failed save, a creature takes 12d6 Radiant damage and has the Blinded condition for 1 minute. On a successful save, it takes half as much damage only.A creature Blinded by this spell makes another Constitution saving throw at the end of each of its turns, ending the effect on itself on a success.This spell dispels Darkness in its area that was created by any spell.",""
"Symbol","PHB'24","329","7th","1 Min.","Until dispelled or triggered","Abjuration","Touch","V, S, M (powdered diamond worth 1,000+ GP, which the spell consumes)","Bard, Cleric, Druid, Wizard","","You inscribe a harmful glyph either on a surface (such as a section of floor or wall) or within an object that can be closed (such as a book or chest). The glyph can cover an area no larger than 10 feet in diameter. If you choose an object, it must remain in place; if it is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered.The glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice.When you inscribe the glyph, you set its trigger and choose which effect the symbol bears: Death, Discord, Fear, Pain, Sleep, or Stunning. Each one is explained below. Set the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For glyphs inscribed within an object, common triggers include opening that object or seeing the glyph.You can refine the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect Aberrations). You can also set conditions for creatures that don't trigger the glyph, such as those who say a certain password.Once triggered, the glyph glows, filling a 60-foot-radius Sphere with Dim Light for 10 minutes, after which time the spell ends. Each creature in the Sphere when the glyph activates is targeted by its effect, as is a creature that enters the Sphere for the first time on a turn or ends its turn there. A creature is targeted only once per turn. Death. Each target makes a Constitution saving throw, taking 10d10 Necrotic damage on a failed save or half as much damage on a successful save. Discord. Each target makes a Wisdom saving throw. On a failed save, a target argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has Disadvantage on attack rolls and ability checks. Fear. Each target must succeed on a Wisdom saving throw or have the Frightened condition for 1 minute. While Frightened, the target must move at least 30 feet away from the glyph on each of its turns, if able. Pain. Each target must succeed on a Constitution saving throw or have the Incapacitated condition for 1 minute. Sleep. Each target must succeed on a Wisdom saving throw or have the Unconscious condition for 10 minutes. A creature awakens if it takes damage or if someone takes an action to shake it awake. Stunning. Each target must succeed on a Wisdom saving throw or have the Stunned condition for 1 minute.",""
"Temple of the Gods","XGE","167","7th","1 Hr.","24 hours","Conjuration","120 feet","V, S, M (a holy symbol worth at least 5 gp)","Cleric, Cleric","","You cause a temple to shimmer into existence on ground you can see within range. The temple must fit within an unoccupied cube of space, up to 120 feet on each side. The temple remains until the spell ends. It is dedicated to whatever god, pantheon, or philosophy is represented by the holy symbol used in the casting.You make all decisions about the temple's appearance. The interior is enclosed by a floor, walls, and a roof, with one door granting access to the interior and as many windows as you wish. Only you and any creatures you designate when you cast the spell can open or close the door.The temple's interior is an open space with an idol or altar at one end. You decide whether the temple is illuminated and whether that illumination is bright light or dim light. The smell of burning incense fills the air within, and the temperature is mild.The temple opposes types of creatures you choose when you cast this spell. Choose one or more of the following: celestials, elementals, fey, fiends, or undead. If a creature of the chosen type attempts to enter the temple, that creature must make a Charisma saving throw. On a failed save, it can't enter the temple for 24 hours. Even if the creature can enter the temple, the magic there hinders it; whenever it makes an attack roll, an ability check, or a saving throw inside the temple, it must roll a d4 and subtract the number rolled from the d20 roll.In addition, the sensors created by divination spells can't appear inside the temple, and creatures within can't be targeted by divination spells.Finally, whenever any creature in the temple regains hit points from a spell of 1st level or higher, the creature regains additional hit points equal to your Wisdom modifier (minimum 1 hit point).The temple is made from opaque magical force that extends into the Ethereal Plane, thus blocking ethereal travel into the temple's interior. Nothing can physically pass through the temple's exterior. It can't be dispelled by dispel magic, and antimagic field has no effect on it. A disintegrate spell destroys the temple instantly.Casting this spell on the same spot every day for a year makes this effect permanent.",""
"Thaumaturgy","PHB'24","333","Cantrip","Action","1 minute","Transmutation","30 feet","V","Cleric","","You manifest a minor wonder within range. You create one of the effects below within range. If you cast this spell multiple times, you can have up to three of its 1-minute effects active at a time. Altered Eyes. You alter the appearance of your eyes for 1 minute. Booming Voice. Your voice booms up to three times as loud as normal for 1 minute. For the duration, you have Advantage on Charisma (Intimidation) checks. Fire Play. You cause flames to flicker, brighten, dim, or change color for 1 minute. Invisible Hand. You instantaneously cause an unlocked door or window to fly open or slam shut. Phantom Sound. You create an instantaneous sound that originates from a point of your choice within range, such as a rumble of thunder, the cry of a raven, or ominous whispers. Tremors. You cause harmless tremors in the ground for 1 minute.",""
"Toll the Dead","PHB'24","334","Cantrip","Action","Instantaneous","Necromancy","60 feet","V, S","Cleric, Warlock, Wizard","","You point at one creature you can see within range, and the single chime of a dolorous bell is audible within 10 feet of the target. The target must succeed on a Wisdom saving throw or take 1d8 Necrotic damage. If the target is missing any of its Hit Points, it instead takes 1d12 Necrotic damage."," Cantrip Upgrade. The damage increases by one die when you reach levels 5 (2d8 or 2d12), 11 (3d8 or 3d12), and 17 (4d8 or 4d12)."
"Tongues","PHB'24","334","3rd","Action","1 hour","Divination","Touch","V, M (a miniature ziggurat)","Bard, Cleric, Sorcerer, Warlock, Wizard","","This spell grants the creature you touch the ability to understand any spoken or signed language that it hears or sees. Moreover, when the target communicates by speaking or signing, any creature that knows at least one language can understand it if that creature can hear the speech or see the signing.",""
"True Resurrection","PHB'24","336","9th","1 Hr.","Instantaneous","Necromancy","Touch","V, S, M (diamonds worth 25,000+ GP, which the spell consumes)","Cleric, Druid","","You touch a creature that has been dead for no longer than 200 years and that died for any reason except old age. The creature is revived with all its Hit Points.This spell closes all wounds, neutralizes any poison, cures all magical contagions, and lifts any curses affecting the creature when it died. The spell replaces damaged or missing organs and limbs. If the creature was Undead, it is restored to its non-Undead form.The spell can provide a new body if the original no longer exists, in which case you must speak the creature's name. The creature then appears in an unoccupied space you choose within 10 feet of you.",""
"True Seeing","PHB'24","336","6th","Action","1 hour","Divination","Touch","V, S, M (mushroom powder worth 25+ GP, which the spell consumes)","Bard, Cleric, Sorcerer, Warlock, Wizard","","For the duration, the willing creature you touch has Truesight with a range of 120 feet.",""
"Warding Bond","PHB'24","340","2nd","Action","1 hour","Abjuration","Touch","V, S, M (a pair of platinum rings worth 50+ GP each, which you and the target must wear for the duration)","Cleric, Paladin","","You touch another creature that is willing and create a mystic connection between you and the target until the spell ends. While the target is within 60 feet of you, it gains a +1 bonus to AC and saving throws, and it has Resistance to all damage. Also, each time it takes damage, you take the same amount of damage.The spell ends if you drop to 0 Hit Points or if you and the target become separated by more than 60 feet. It also ends if the spell is cast again on either of the connected creatures.",""
"Water Walk","PHB'24","340","3rd","Action","1 hour","Transmutation (ritual)","30 feet","V, S, M (a piece of cork)","Artificer, Cleric, Druid, Ranger, Sorcerer","","This spell grants the ability to move across any liquid surface—such as water, acid, mud, snow, quicksand, or lava—as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures of your choice within range gain this ability for the duration.An affected target must take a Bonus Action to pass from the liquid's surface into the liquid itself and vice versa, but if the target falls into the liquid, the target passes through the surface into the liquid below.",""
"Word of Radiance","PHB'24","343","Cantrip","Action","Instantaneous","Evocation","Self","V, M (a sunburst token)","Cleric","","Burning radiance erupts from you in a 5-foot Emanation. Each creature of your choice that you can see in it must succeed on a Constitution saving throw or take 1d6 Radiant damage."," Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
"Word of Recall","PHB'24","343","6th","Action","Instantaneous","Conjuration","5 feet","V","Cleric","","You and up to five willing creatures within 5 feet of you instantly teleport to a previously designated sanctuary. You and any creatures that teleport with you appear in the nearest unoccupied space to the spot you designated when you prepared your sanctuary (see below). If you cast this spell without first preparing a sanctuary, the spell has no effect.You must designate a location, such as a temple, as a sanctuary by casting this spell there.",""
"Zone of Truth","PHB'24","343","2nd","Action","10 minutes","Enchantment","60 feet","V, S","Bard, Cleric, Paladin","","You create a magical zone that guards against deception in a 15-foot-radius Sphere centered on a point within range. Until the spell ends, a creature that enters the spell's area for the first time on a turn or starts its turn there makes a Charisma saving throw. On a failed save, a creature can't speak a deliberate lie while in the radius. You know whether a creature succeeds or fails on this save.An affected creature is aware of the spell and can avoid answering questions to which it would normally respond with a lie. Such a creature can be evasive yet must be truthful.",""
