"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Infestation","XGE","158","Cantrip","Action","Instantaneous","Conjuration","30 feet","V, S, M (a living flea)","Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn't provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move.The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",""
"Insect Plague","PHB'24","289","5th","Action","Concentration, up to 10 minutes","Conjuration","300 feet","V, S, M (a locust)","Cleric, Druid, Sorcerer","","Swarming locusts fill a 20-foot-radius Sphere centered on a point you choose within range. The Sphere remains for the duration, and its area is Lightly Obscured and Difficult Terrain.When the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell's area for the first time on a turn or ends its turn there. A creature makes this save only once per turn."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 5."
"Investiture of Flame","XGE","159","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","Flames race across your body, shedding bright light in a 30-foot radius and dim light for an additional 30 feet for the spell's duration. The flames don't harm you. Until the spell ends, you gain the following benefits:You are immune to fire damage and have resistance to cold damage.Any creature that moves within 5 feet of you for the first time on a turn or ends its turn there takes 1d10 fire damage.You can use your action to create a line of fire 15 feet long and 5 feet wide extending from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 4d8 fire damage on a failed save, or half as much damage on a successful one.",""
"Investiture of Ice","XGE","159","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","Until the spell ends, ice rimes your body, and you gain the following benefits:You are immune to cold damage and have resistance to fire damage.You can move across difficult terrain created by ice or snow without spending extra movement.The ground in a 10-foot radius around you is icy and is difficult terrain for creatures other than you. The radius moves with you.You can use your action to create a 15-foot cone of freezing wind extending from your outstretched hand in a direction you choose. Each creature in the cone must make a Constitution saving throw. A creature takes 4d6 cold damage on a failed save, or half as much damage on a successful one. A creature that fails its save against this effect has its speed halved until the start of your next turn.",""
"Investiture of Stone","XGE","159","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","Until the spell ends, bits of rock spread across your body, and you gain the following benefits:You have resistance to bludgeoning, piercing, and slashing damage from nonmagical attacks.You can use your action to create a small earthquake on the ground in a 15-foot radius centered on you. Other creatures on that ground must succeed on a Dexterity saving throw or be knocked prone.You can move across difficult terrain made of earth or stone without spending extra movement. You can move through solid earth or stone as if it was air and without destabilizing it, but you can't end your movement there. If you do so, you are ejected to the nearest unoccupied space, this spell ends, and you are stunned until the end of your next turn.",""
"Investiture of Wind","XGE","160","6th","Action","Concentration, up to 10 minutes","Transmutation","Self","V, S","Druid, Druid, Sorcerer, Sorcerer, Warlock, Warlock, Wizard, Wizard","","Until the spell ends, wind whirls around you, and you gain the following benefits:Ranged weapon attacks made against you have disadvantage on the attack roll.You gain a flying speed of 60 feet. If you are still flying when the spell ends, you fall, unless you can somehow prevent it.You can use your action to create a 15-foot cube of swirling wind centered on a point you can see within 60 feet of you. Each creature in that area must make a Constitution saving throw. A creature takes 2d10 bludgeoning damage on a failed save, or half as much damage on a successful one. If a Large or smaller creature fails the save, that creature is also pushed up to 10 feet away from the center of the cube.",""
"Jump","PHB'24","290","1st","Bonus","1 minute","Transmutation","Touch","V, S, M (a grasshopper's hind leg)","Artificer, Druid, Ranger, Sorcerer, Wizard","","You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Lesser Restoration","PHB'24","291","2nd","Bonus","Instantaneous","Abjuration","Touch","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","You touch a creature and end one condition on it: Blinded, Deafened, Paralyzed, or Poisoned.",""
"Locate Animals or Plants","PHB'24","292","2nd","Action","Instantaneous","Divination (ritual)","Self","V, S, M (fur from a bloodhound)","Bard, Druid, Ranger","","Describe or name a specific kind of Beast, Plant creature, or nonmagical plant. You learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.",""
"Locate Creature","PHB'24","292","4th","Action","Concentration, up to 1 hour","Divination","Self","V, S, M (fur from a bloodhound)","Bard, Cleric, Druid, Paladin, Ranger, Wizard","","Describe or name a creature that is familiar to you. You sense the direction to the creature's location if that creature is within 1,000 feet of you. If the creature is moving, you know the direction of its movement.The spell can locate a specific creature known to you or the nearest creature of a specific kind (such as a human or a unicorn) if you have seen such a creature up close—within 30 feet—at least once. If the creature you described or named is in a different form, such as under the effects of a Flesh to Stone or Polymorph spell, this spell doesn't locate the creature.This spell can't locate a creature if any thickness of lead blocks a direct path between you and the creature.",""
"Locate Object","PHB'24","293","2nd","Action","Concentration, up to 10 minutes","Divination","Self","V, S, M (a forked twig)","Bard, Cleric, Druid, Paladin, Ranger, Wizard","","Describe or name an object that is familiar to you. You sense the direction to the object's location if that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternatively, the spell can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon.This spell can't locate an object if any thickness of lead blocks a direct path between you and the object.",""
"Longstrider","PHB'24","293","1st","Action","1 hour","Transmutation","Touch","V, S, M (a pinch of dirt)","Artificer, Bard, Druid, Ranger, Wizard","","You touch a creature. The target's Speed increases by 10 feet until the spell ends."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Maelstrom","XGE","160","5th","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S, M (paper or leaf in the shape of a funnel)","Druid, Druid","","A swirling mass of 5-foot-deep water appears in a 30-foot radius centered on a point you can see within range. The point must be on the ground or in a body of water. Until the spell ends, that area is difficult terrain, and any creature that starts its turn there must succeed on a Strength saving throw or take 6d6 bludgeoning damage and be pulled 10 feet toward the center.",""
"Magic Stone","XGE","160","Cantrip","Bonus","1 minute","Transmutation","Touch","V, S","Artificer, Druid, Druid, Warlock, Warlock","","You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, a pebble has a range of 60 feet. If someone else attacks with a pebble, that attacker adds your spellcasting ability modifier, not the attacker's, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Whether the attack hits or misses, the spell then ends on the stone.If you cast this spell again, the spell ends on any pebbles still affected by your previous casting.",""
"Mass Cure Wounds","PHB'24","296","5th","Action","Instantaneous","Abjuration","60 feet","V, S","Bard, Cleric, Druid","","A wave of healing energy washes out from a point you can see within range. Choose up to six creatures in a 30-foot-radius Sphere centered on that point. Each target regains Hit Points equal to 5d8 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 1d8 for each spell slot level above 5."
"Meld into Stone","PHB'24","296","3rd","Action","8 hours","Transmutation (ritual)","Touch","V, S","Cleric, Druid, Ranger","","You step into a stone object or surface large enough to fully contain your body, merging yourself and your equipment with the stone for the duration. You must touch the stone to do so. Nothing of your presence remains visible or otherwise detectable by nonmagical senses.While merged with the stone, you can't see what occurs outside it, and any Wisdom (Perception) checks you make to hear sounds outside it are made with Disadvantage. You remain aware of the passage of time and can cast spells on yourself while merged in the stone. You can use 5 feet of movement to leave the stone where you entered it, which ends the spell. You otherwise can't move.Minor physical damage to the stone doesn't harm you, but its partial destruction or a change in its shape (to the extent that you no longer fit within it) expels you and deals 6d6 Force damage to you. The stone's complete destruction (or transmutation into a different substance) expels you and deals 50 Force damage to you. If expelled, you move into an unoccupied space closest to where you first entered and have the Prone condition.",""
"Mending","PHB'24","297","Cantrip","1 Min.","Instantaneous","Transmutation","Touch","V, S, M (two lodestones)","Artificer, Bard, Cleric, Druid, Sorcerer, Wizard","","This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.This spell can physically repair a magic item, but it can't restore magic to such an object.",""
"Message","PHB'24","298","Cantrip","Action","1 round","Transmutation","120 feet","S, M (a copper wire)","Artificer, Bard, Druid, Sorcerer, Wizard","","You point toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence; 1 foot of stone, metal, or wood; or a thin sheet of lead blocks the spell.",""
"Mirage Arcane","PHB'24","299","7th","10 Min.","10 days","Illusion","Sight","V, S","Bard, Druid, Wizard","","You make terrain in an area up to 1 mile square look, sound, smell, and even feel like some other sort of terrain. Open fields or a road could be made to resemble a swamp, hill, crevasse, or some other rough or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road.Similarly, you can alter the appearance of structures or add them where none are present. The spell doesn't disguise, conceal, or add creatures.The illusion includes audible, visual, tactile, and olfactory elements, so it can turn clear ground into Difficult Terrain (or vice versa) or otherwise impede movement through the area. Any piece of the illusory terrain (such as a rock or stick) that is removed from the spell's area disappears immediately.Creatures with Truesight can see through the illusion to the terrain's true form; however, all other elements of the illusion remain, so while the creature is aware of the illusion's presence, the creature can still physically interact with the illusion.",""
"Mold Earth","XGE","162","Cantrip","Action","Instantaneous or 1 hour (see below)","Transmutation","30 feet","S","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:If you target an area of loose earth, you can instantaneously excavate it, move it along the ground, and deposit it up to 5 feet away. This movement doesn't involve enough force to cause damage.You cause shapes, colors, or both to appear on the dirt or stone, spelling out words, creating images, or shaping patterns. The changes last for 1 hour.If the dirt or stone you target is on the ground, you cause it to become difficult terrain. Alternatively, you can cause the ground to become normal terrain if it is already difficult terrain. This change lasts for 1 hour.If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",""
"Moonbeam","PHB'24","300","2nd","Action","Concentration, up to 1 minute","Evocation","120 feet","V, S, M (a moonseed leaf)","Druid","","A silvery beam of pale light shines down in a 5-foot-radius, 40-foot-high Cylinder centered on a point within range. Until the spell ends, Dim Light fills the Cylinder, and you can take a Magic action on later turns to move the Cylinder up to 60 feet.When the Cylinder appears, each creature in it makes a Constitution saving throw. On a failed save, a creature takes 2d10 Radiant damage, and if the creature is shape-shifted (as a result of the Polymorph spell, for example), it reverts to its true form and can't shape-shift until it leaves the Cylinder. On a successful save, a creature takes half as much damage only. A creature also makes this save when the spell's area moves into its space and when it enters the spell's area or ends its turn there. A creature makes this save only once per turn."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 2."
"Move Earth","PHB'24","302","6th","Action","Concentration, up to 2 hours","Transmutation","120 feet","V, S, M (a miniature shovel)","Druid, Sorcerer, Wizard","","Choose an area of terrain no larger than 40 feet on a side within range. You can reshape dirt, sand, or clay in the area in any manner you choose for the duration. You can raise or lower the area's elevation, create or fill in a trench, erect or flatten a wall, or form a pillar. The extent of any such changes can't exceed half the area's largest dimension. For example, if you affect a 40-foot square, you can create a pillar up to 20 feet high, raise or lower the square's elevation by up to 20 feet, dig a trench up to 20 feet deep, and so on. It takes 10 minutes for these changes to complete. Because the terrain's transformation occurs slowly, creatures in the area can't usually be trapped or injured by the ground's movement.At the end of every 10 minutes you spend Concentrating on the spell, you can choose a new area of terrain to affect within range.This spell can't manipulate natural stone or stone construction. Rocks and structures shift to accommodate the new terrain. If the way you shape the terrain would make a structure unstable, it might collapse.Similarly, this spell doesn't directly affect plant growth. The moved earth carries any plants along with it.",""
"Pass without Trace","PHB'24","303","2nd","Action","Concentration, up to 1 hour","Abjuration","Self","V, S, M (ashes from burned mistletoe)","Druid, Ranger","","You radiate a concealing aura in a 30-foot Emanation for the duration. While in the aura, you and each creature you choose have a +10 bonus to Dexterity (Stealth) checks and leave no tracks.",""
"Planar Binding","PHB'24","305","5th","1 Hr.","24 hours","Abjuration","60 feet","V, S, M (a jewel worth 1,000+ GP, which the spell consumes)","Bard, Cleric, Druid, Warlock, Wizard","","You attempt to bind a Celestial, an Elemental, a Fey, or a Fiend to your service. The creature must be within range for the entire casting of the spell. (Typically, the creature is first summoned into the center of the inverted version of the Magic Circle spell to trap it while this spell is cast.) At the completion of the casting, the target must succeed on a Charisma saving throw or be bound to serve you for the duration. If the creature was summoned or created by another spell, that spell's duration is extended to match the duration of this spell.A bound creature must follow your commands to the best of its ability. You might command the creature to accompany you on an adventure, to guard a location, or to deliver a message. If the creature is Hostile, it strives to twist your commands to achieve its own objectives. If the creature carries out your commands completely before the spell ends, it travels to you to report this fact if you are on the same plane of existence. If you are on a different plane, it returns to the place where you bound it and remains there until the spell ends."," Using a Higher-Level Spell Slot. The duration increases with a spell slot of level 6 (10 days), 7 (30 days), 8 (180 days), and 9 (366 days)."
"Plane Shift","PHB'24","305","7th","Action","Instantaneous","Conjuration","Touch","V, S, M (a forked, metal rod worth 250+ GP and attuned to a plane of existence)","Cleric, Druid, Sorcerer, Warlock, Wizard","","You and up to eight willing creatures who link hands in a circle are transported to a different plane of existence. You can specify a target destination in general terms, such as the City of Brass on the Elemental Plane of Fire or the palace of Dispater on the second level of the Nine Hells, and you appear in or near that destination, as determined by the DM.Alternatively, if you know the sigil sequence of a teleportation circle on another plane of existence, this spell can take you to that circle. If the teleportation circle is too small to hold all the creatures you transported, they appear in the closest unoccupied spaces next to the circle.",""
"Plant Growth","PHB'24","305","3rd","Action","Instantaneous","Transmutation","150 feet","V, S","Bard, Druid, Ranger","","This spell channels vitality into plants. The casting time you use determines whether the spell has the Overgrowth or the Enrichment effect below. Overgrowth. Choose a point within range. All normal plants in a 100-foot-radius Sphere centered on that point become thick and overgrown. A creature moving through that area must spend 4 feet of movement for every 1 foot it moves. You can exclude one or more areas of any size within the spell's area from being affected. Enrichment. All plants in a half-mile radius centered on a point within range become enriched for 365 days. The plants yield twice the normal amount of food when harvested. They can benefit from only one Plant Growth per year.",""
"Poison Spray","PHB'24","306","Cantrip","Action","Instantaneous","Necromancy","30 feet","V, S","Artificer, Druid, Sorcerer, Warlock, Wizard","","You spray toxic mist at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d12 Poison damage."," Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12)."
"Polymorph","PHB'24","306","4th","Action","Concentration, up to 1 hour","Transmutation","60 feet","V, S, M (a caterpillar cocoon)","Bard, Druid, Sorcerer, Wizard","","You attempt to transform a creature that you can see within range into a Beast. The target must succeed on a Wisdom saving throw or shape-shift into Beast form for the duration. That form can be any Beast you choose that has a Challenge Rating equal to or less than the target's (or the target's level if it doesn't have a Challenge Rating). The target's game statistics are replaced by the stat block of the chosen Beast, but the target retains its alignment, personality, creature type, Hit Points, and Hit Point Dice.The target gains a number of Temporary Hit Points equal to the Hit Points of the Beast form. These Temporary Hit Points vanish if any remain when the spell ends. The spell ends early on the target if it has no Temporary Hit Points left. The target is limited in the actions it can perform by the anatomy of its new form, and it can't speak or cast spells.The target's gear melds into the new form. The creature can't use or otherwise benefit from any of that equipment.",""
"Primal Savagery","XGE","163","Cantrip","Action","Instantaneous","Transmutation","Self","S","Druid, Druid","","You channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. Make a melee spell attack against one creature within 5 feet of you. On a hit, the target takes 1d10 acid damage. After you make the attack, your teeth or fingernails return to normal.The spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).",""
"Primordial Ward","XGE","163","6th","Action","Concentration, up to 1 minute","Abjuration","Self","V, S","Druid, Druid","","You have resistance to acid, cold, fire, lightning, and thunder damage for the spell's duration.When you take damage of one of those types, you can use your reaction to gain immunity to that type of damage, including against the triggering damage. If you do so, the resistances end, and you have the immunity until the end of your next turn, at which time the spell ends.",""
"Produce Flame","PHB'24","308","Cantrip","Bonus","10 minutes","Conjuration","Self","V, S","Druid","","A flickering flame appears in your hand and remains there for the duration. While there, the flame emits no heat and ignites nothing, and it sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The spell ends if you cast it again.Until the spell ends, you can take a Magic action to hurl fire at a creature or an object within 60 feet of you. Make a ranged spell attack. On a hit, the target takes 1d8 Fire damage."," Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
"Protection from Energy","PHB'24","309","3rd","Action","Concentration, up to 1 hour","Abjuration","Touch","V, S","Artificer, Cleric, Druid, Ranger, Sorcerer, Wizard","","For the duration, the willing creature you touch has Resistance to one damage type of your choice: Acid, Cold, Fire, Lightning, or Thunder.",""
"Protection from Evil and Good","PHB'24","309","1st","Action","Concentration, up to 10 minutes","Abjuration","Touch","V, S, M (a flask of Holy Water worth 25+ GP, which the spell consumes)","Cleric, Druid, Paladin, Warlock, Wizard","","Until the spell ends, one willing creature you touch is protected against creatures that are Aberrations, Celestials, Elementals, Fey, Fiends, or Undead. The protection grants several benefits. Creatures of those types have Disadvantage on attack rolls against the target. The target also can't be possessed by or gain the Charmed or Frightened conditions from them. If the target is already possessed, Charmed, or Frightened by such a creature, the target has Advantage on any new saving throw against the relevant effect.",""
"Protection from Poison","PHB'24","310","2nd","Action","1 hour","Abjuration","Touch","V, S","Artificer, Cleric, Druid, Paladin, Ranger","","You touch a creature and end the Poisoned condition on it. For the duration, the target has Advantage on saving throws to avoid or end the Poisoned condition, and it has Resistance to Poison damage.",""
"Purify Food and Drink","PHB'24","310","1st","Action","Instantaneous","Transmutation (ritual)","10 feet","V, S","Artificer, Cleric, Druid, Paladin","","You remove poison and rot from nonmagical food and drink in a 5-foot-radius Sphere centered on a point within range.",""
"Regenerate","PHB'24","311","7th","1 Min.","1 hour","Transmutation","Touch","V, S, M (a prayer wheel)","Bard, Cleric, Druid","","A creature you touch regains 4d8 + 15 Hit Points. For the duration, the target regains 1 Hit Point at the start of each of its turns, and any severed body parts regrow after 2 minutes.",""
"Reincarnate","PHB'24","311","5th","1 Hr.","Instantaneous","Necromancy","Touch","V, S, M (rare oils worth 1,000+ GP, which the spell consumes)","Druid","","You touch a dead Humanoid or a piece of one. If the creature has been dead no longer than 10 days, the spell forms a new body for it and calls the soul to enter that body. Roll 1d10 and consult the table below to determine the body's species, or the DM chooses another playable species.1d10Species1Aasimar2Dragonborn3Dwarf4Elf5Gnome6Goliath7Halfling8Human9Orc10TieflingThe reincarnated creature makes any choices that a species' description offers, and the creature recalls its former life. It retains the capabilities it had in its original form, except it loses the traits of its previous species and gains the traits of its new one.",""
"Resistance","PHB'24","312","Cantrip","Action","Concentration, up to 1 minute","Abjuration","Touch","V, S","Artificer, Cleric, Druid","","You touch a willing creature and choose a damage type: Acid, Bludgeoning, Cold, Fire, Lightning, Necrotic, Piercing, Poison, Radiant, Slashing, or Thunder. When the creature takes damage of the chosen type before the spell ends, the creature reduces the total damage taken by 1d4. A creature can benefit from this spell only once per turn.",""
"Reverse Gravity","PHB'24","312","7th","Action","Concentration, up to 1 minute","Transmutation","100 feet","V, S, M (a lodestone and iron filings)","Druid, Sorcerer, Wizard","","This spell reverses gravity in a 50-foot-radius, 100-foot high Cylinder centered on a point within range. All creatures and objects in that area that aren't anchored to the ground fall upward and reach the top of the Cylinder. A creature can make a Dexterity saving throw to grab a fixed object it can reach, thus avoiding the fall upward.If a ceiling or an anchored object is encountered in this upward fall, creatures and objects strike it just as they would during a downward fall. If an affected creature or object reaches the Cylinder's top without striking anything, it hovers there for the duration. When the spell ends, affected objects and creatures fall downward.",""
"Revivify","PHB'24","312","3rd","Action","Instantaneous","Necromancy","Touch","V, S, M (a diamond worth 300+ GP, which the spell consumes)","Artificer, Cleric, Druid, Paladin, Ranger","","You touch a creature that has died within the last minute. That creature revives with 1 Hit Point. This spell can't revive a creature that has died of old age, nor does it restore any missing body parts.",""
"Scrying","PHB'24","313","5th","10 Min.","Concentration, up to 10 minutes","Divination","Self","V, S, M (a focus worth 1,000+ GP, such as a crystal ball, mirror, or water-filled font)","Bard, Cleric, Druid, Warlock, Wizard","","You can see and hear a creature you choose that is on the same plane of existence as you. The target makes a Wisdom saving throw, which is modified (see the tables below) by how well you know the target and the sort of physical connection you have to it. The target doesn't know what it is making the save against, only that it feels uneasy.Your Knowledge of the Target Is...Save ModifierSecondhand (heard of the target)+5Firsthand (met the target)+0Extensive (know the target well)-5You Have the Target's...Save ModifierPicture or other likeness-2Garment or other possession-4Body part, lock of hair, or bit of nail-10On a successful save, the target isn't affected, and you can't use this spell on it again for 24 hours.On a failed save, the spell creates an Invisible, intangible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. If something can see the sensor, it appears as a luminous orb about the size of your fist.Instead of targeting a creature, you can target a location you have seen. When you do so, the sensor appears at that location and doesn't move.",""
"Shape Water","XGE","164","Cantrip","Action","Instantaneous or 1 hour (see below)","Transmutation","30 feet","S","Druid, Druid, Sorcerer, Sorcerer, Wizard, Wizard","","You choose an area of water that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:You instantaneously move or otherwise change the flow of the water as you direct, up to 5 feet in any direction. This movement doesn't have enough force to cause damage.You cause the water to form into simple shapes and animate at your direction. This change lasts for 1 hour.You change the water's color or opacity. The water must be changed in the same way throughout. This change lasts for 1 hour.You freeze the water, provided that there are no creatures in it. The water unfreezes in 1 hour.If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",""
"Shapechange","PHB'24","315","9th","Action","Concentration, up to 1 hour","Transmutation","Self","V, S, M (a jade circlet worth 1,500+ GP)","Druid, Wizard","","You shape-shift into another creature for the duration or until you take a Magic action to shape-shift into a different eligible form. The new form must be of a creature that has a Challenge Rating no higher than your level or Challenge Rating. You must have seen the sort of creature before, and it can't be a Construct or an Undead.When you cast the spell, you gain a number of Temporary Hit Points equal to the Hit Points of the first form into which you shape-shift. These Temporary Hit Points vanish if any remain when the spell ends.Your game statistics are replaced by the stat block of the chosen form, but you retain your creature type; alignment; personality; Intelligence, Wisdom, and Charisma scores; Hit Points; Hit Point Dice; proficiencies; and ability to communicate. If you have the Spellcasting feature, you retain it too.Upon shape-shifting, you determine whether your equipment drops to the ground or changes in size and shape to fit the new form while you're in it.",""
"Shillelagh","PHB'24","316","Cantrip","Bonus","1 minute","Transmutation","Touch","V, S, M (mistletoe)","Druid","","A Club or Quarterstaff you are holding is imbued with nature's power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes a d8. If the attack deals damage, it can be Force damage or the weapon's normal damage type (your choice).The spell ends early if you cast it again or if you let go of the weapon."," Cantrip Upgrade. The damage die changes when you reach levels 5 (d10), 11 (d12), and 17 (2d6)."
"Skywrite","XGE","165","2nd","Action","Concentration, up to 1 hour","Transmutation (ritual)","Sight","V, S","Artificer, Bard, Bard, Druid, Druid, Wizard, Wizard","","You cause up to ten words to form in a part of the sky you can see. The words appear to be made of cloud and remain in place for the spell's duration. The words dissipate when the spell ends. A strong wind can disperse the clouds and end the spell early.",""
"Sleet Storm","PHB'24","317","3rd","Action","Concentration, up to 1 minute","Conjuration","150 feet","V, S, M (a miniature umbrella)","Druid, Sorcerer, Wizard","","Until the spell ends, sleet falls in a 40-foot-tall, 20-foot-radius Cylinder centered on a point you choose within range. The area is Heavily Obscured, and exposed flames in the area are doused.Ground in the Cylinder is Difficult Terrain. When a creature enters the Cylinder for the first time on a turn or starts its turn there, it must succeed on a Dexterity saving throw or have the Prone condition and lose Concentration.",""
"Snare","XGE","165","1st","1 Min.","8 hours","Abjuration","Touch","S, M (25 feet of rope, which the spell consumes)","Artificer, Druid, Druid, Ranger, Ranger, Wizard, Wizard","","As you cast this spell, you use the rope to create a circle with a 5-foot radius on the ground or the floor. When you finish casting, the rope disappears and the circle becomes a magic trap.This trap is nearly invisible, requiring a successful Intelligence (Investigation) check against your spell save DC to be discerned.The trap triggers when a Small, Medium, or Large creature moves onto the ground or the floor in the spell's radius. That creature must succeed on a Dexterity saving throw or be magically hoisted into the air, leaving it hanging upside down 3 feet above the ground or the floor. The creature is restrained there until the spell ends.A restrained creature can make a Dexterity saving throw at the end of each of its turns, ending the effect on itself on a success. Alternatively, the creature or someone else who can reach it can use an action to make an Intelligence (Arcana) check against your spell save DC. On a success, the restrained effect ends.After the trap is triggered, the spell ends when no creature is restrained by it.",""
"Spare the Dying","PHB'24","318","Cantrip","Action","Instantaneous","Necromancy","15 feet","V, S","Artificer, Cleric, Druid","","Choose a creature within range that has 0 Hit Points and isn't dead. The creature becomes Stable."," Cantrip Upgrade. The range doubles when you reach levels 5 (30 feet), 11 (60 feet), and 17 (120 feet)."
"Speak with Animals","PHB'24","318","1st","Action","10 minutes","Divination (ritual)","Self","V, S","Bard, Druid, Ranger, Warlock","","For the duration, you can comprehend and verbally communicate with Beasts, and you can use any of the Influence action's skill options with them.Most Beasts have little to say about topics that don't pertain to survival or companionship, but at minimum, a Beast can give you information about nearby locations and monsters, including whatever it has perceived within the past day.",""
"Speak with Plants","PHB'24","319","3rd","Action","10 minutes","Transmutation","Self","V, S","Bard, Druid, Ranger","","You imbue plants in an immobile 30-foot Emanation with limited sentience and animation, giving them the ability to communicate with you and follow your simple commands. You can question plants about events in the spell's area within the past day, gaining information about creatures that have passed, weather, and other circumstances.You can also turn Difficult Terrain caused by plant growth (such as thickets and undergrowth) into ordinary terrain that lasts for the duration. Or you can turn ordinary terrain where plants are present into Difficult Terrain that lasts for the duration.The spell doesn't enable plants to uproot themselves and move about, but they can move their branches, tendrils, and stalks for you.If a Plant creature is in the area, you can communicate with it as if you shared a common language.",""
"Spike Growth","PHB'24","319","2nd","Action","Concentration, up to 10 minutes","Transmutation","150 feet","V, S, M (seven thorns)","Druid, Ranger","","The ground in a 20-foot-radius Sphere centered on a point within range sprouts hard spikes and thorns. The area becomes Difficult Terrain for the duration. When a creature moves into or within the area, it takes 2d4 Piercing damage for every 5 feet it travels.The transformation of the ground is camouflaged to look natural. Any creature that can't see the area when the spell is cast must take a Search action and succeed on a Wisdom (Perception or Survival) check against your spell save DC to recognize the terrain as hazardous before entering it.",""
"Starry Wisp","PHB'24","320","Cantrip","Action","Instantaneous","Evocation","60 feet","V, S","Bard, Druid","","You launch a mote of light at one creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d8 Radiant damage, and until the end of your next turn, it emits Dim Light in a 10-foot radius and can't benefit from the Invisible condition."," Cantrip Upgrade. The damage increases by 1d8 when you reach levels 5 (2d8), 11 (3d8), and 17 (4d8)."
"Stone Shape","PHB'24","321","4th","Action","Instantaneous","Transmutation","Touch","V, S, M (soft clay)","Artificer, Cleric, Druid, Wizard","","You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape you like. For example, you could shape a large rock into a weapon, statue, or coffer, or you could make a small passage through a wall that is 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn't possible.",""
